Country code,State code,Postcode / ZIP,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
US,AK,99501*,,0.000%,ANCHORAGE,,0,,
US,AK,99502*,,0.000%,ANCHORAGE,,0,,
US,AK,99503*,,0.000%,ANCHORAGE,,0,,
US,AK,99504*,,0.000%,ANCHORAGE,,0,,
US,AK,99505*,,0.000%,ANCHORAGE,,0,,
US,AK,99506*,,0.000%,ANCHORAGE,,0,,
US,AK,99507*,,0.000%,ANCHORAGE,,0,,
US,AK,99508*,,0.000%,ANCHORAGE,,0,,
US,AK,99509*,,0.000%,ANCHORAGE,,0,,
US,AK,99510*,,0.000%,ANCHORAGE,,0,,
US,AK,99511*,,0.000%,ANCHORAGE,,0,,
US,AK,99513*,,0.000%,ANCHORAGE,,0,,
US,AK,99514*,,0.000%,ANCHORAGE,,0,,
US,AK,99515*,,0.000%,ANCHORAGE,,0,,
US,AK,99516*,,0.000%,ANCHORAGE,,0,,
US,AK,99517*,,0.000%,ANCHORAGE,,0,,
US,AK,99518*,,0.000%,ANCHORAGE,,0,,
US,AK,99519*,,0.000%,ANCHORAGE,,0,,
US,AK,99520*,,0.000%,ANCHORAGE,,0,,
US,AK,99521*,,0.000%,ANCHORAGE,,0,,
US,AK,99522*,,0.000%,ANCHORAGE,,0,,
US,AK,99523*,,0.000%,ANCHORAGE,,0,,
US,AK,99524*,,0.000%,ANCHORAGE,,0,,
US,AK,99529*,,0.000%,ANCHORAGE,,0,,
US,AK,99530*,,0.000%,ANCHORAGE,,0,,
US,AK,99540*,,0.000%,ANCHORAGE,,0,,
US,AK,99545*,,0.000%,KONGIGANAK,,0,,
US,AK,99546*,,4.000%,ADAK,,0,,
US,AK,99547*,,0.000%,ATKA,,0,,
US,AK,99548*,,0.000%,CHIGNIK,,0,,
US,AK,99549*,,0.000%,PORT HEIDEN,,0,,
US,AK,99550*,,0.000%,PORT LIONS,,0,,
US,AK,99551*,,0.000%,AKIACHAK,,0,,
US,AK,99552*,,0.000%,AKIAK,,0,,
US,AK,99553*,,0.000%,AKUTAN,,0,,
US,AK,99554*,,4.000%,ALAKANUK,,0,,
US,AK,99555*,,5.000%,ALEKNAGIK,,0,,
US,AK,99556*,,3.000%,ANCHOR POINT,,0,,
US,AK,99557*,,2.000%,ANIAK,,0,,
US,AK,99558*,,0.000%,ANVIK,,0,,
US,AK,99559*,,0.000%,ATMAUTLUAK,,0,,
US,AK,99561*,,2.000%,CHEFORNAK,,0,,
US,AK,99563*,,3.000%,CHEVAK,,0,,
US,AK,99564*,,0.000%,CHIGNIK,,0,,
US,AK,99565*,,0.000%,CHIGNIK LAGOON,,0,,
US,AK,99566*,,0.000%,CHITINA,,0,,
US,AK,99567*,,0.000%,CHUGIAK,,0,,
US,AK,99568*,,3.000%,CLAM GULCH,,0,,
US,AK,99569*,,6.000%,CLARKS POINT,,0,,
